_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
6692,3.03,Crime Number of Sexual Assaults ,m,n,205.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,8,,
6693,3.03,Crime Number of Sexual Assaults ,m,n,192.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,9,,
6694,3.03,Crime Number of Sexual Assaults ,m,n,214.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,10,,
6695,3.03,Crime Number of Sexual Assaults ,m,n,238.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,11,,
6696,3.03,Crime Number of Sexual Assaults ,m,n,175.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2017,12,,
6697,3.03,Crime Number of Sexual Assaults ,m,n,252.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,1,,
6698,3.03,Crime Number of Sexual Assaults ,m,n,245.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,2,,
6699,3.03,Crime Number of Sexual Assaults ,m,n,251.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,3,,
6700,3.03,Crime Number of Sexual Assaults ,m,n,241.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,4,,
6701,3.03,Crime Number of Sexual Assaults ,m,n,305.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,5,,
6702,3.03,Crime Number of Sexual Assaults ,m,n,264.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,6,,
6703,3.03,Crime Number of Sexual Assaults ,m,n,214.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,7,,
6704,3.03,Crime Number of Sexual Assaults ,m,n,240.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,8,,
6705,3.03,Crime Number of Sexual Assaults ,m,n,257.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,9,,
6706,3.03,Crime Number of Sexual Assaults ,m,n,278.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,10,,
6707,3.03,Crime Number of Sexual Assaults ,m,n,286.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,11,,
6708,3.03,Crime Number of Sexual Assaults ,m,n,224.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2018,12,,
6709,3.03,Crime Number of Sexual Assaults ,m,n,191.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,1,,
6710,3.03,Crime Number of Sexual Assaults ,m,n,197.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,2,,
6711,3.03,Crime Number of Sexual Assaults ,m,n,244.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,3,,
6712,3.03,Crime Number of Sexual Assaults ,m,n,250.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,4,,
6713,3.03,Crime Number of Sexual Assaults ,m,n,249.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,5,,
6714,3.03,Crime Number of Sexual Assaults ,m,n,253.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,6,,
6715,3.03,Crime Number of Sexual Assaults ,m,n,251.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,7,,
6716,3.03,Crime Number of Sexual Assaults ,m,n,209.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,8,,
6717,3.03,Crime Number of Sexual Assaults ,m,n,231.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,9,,
6718,3.03,Crime Number of Sexual Assaults ,m,n,250.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,10,,
6719,3.03,Crime Number of Sexual Assaults ,m,n,227.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,11,,
6720,3.03,Crime Number of Sexual Assaults ,m,n,208.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2019,12,,
6721,3.03,Crime Number of Sexual Assaults ,m,n,218.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,1,,
6722,3.03,Crime Number of Sexual Assaults ,m,n,238.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,2,,
6723,3.03,Crime Number of Sexual Assaults ,m,n,201.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,3,,
6724,3.03,Crime Number of Sexual Assaults ,m,n,116.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,4,,
6725,3.03,Crime Number of Sexual Assaults ,m,n,151.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,5,,
6726,3.03,Crime Number of Sexual Assaults ,m,n,197.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,6,,
6727,3.03,Crime Number of Sexual Assaults ,m,n,248.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,7,,
6728,3.03,Crime Number of Sexual Assaults ,m,n,220.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,8,,
6729,3.03,Crime Number of Sexual Assaults ,m,n,187.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,9,,
6730,3.03,Crime Number of Sexual Assaults ,m,n,200.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,10,,
6731,3.03,Crime Number of Sexual Assaults ,m,n,176.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,11,,
6732,3.03,Crime Number of Sexual Assaults ,m,n,146.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2020,12,,Crime trends in 2020 have been impacted by the COVID-19 pandemic
6733,3.03,Crime Number of Sexual Assaults ,m,n,188.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,1,,
6734,3.03,Crime Number of Sexual Assaults ,m,n,143.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,2,,
6735,3.03,Crime Number of Sexual Assaults ,m,n,230.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,3,,
6736,3.03,Crime Number of Sexual Assaults ,m,n,172.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,4,,
6737,3.03,Crime Number of Sexual Assaults ,m,n,216.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,5,,
6738,3.03,Crime Number of Sexual Assaults ,m,n,222.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,6,,
6739,3.03,Crime Number of Sexual Assaults ,m,n,194.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,7,,
